url_id,total_meters,price,floor,floors_count,rooms_count
225134236,62.57,12390000,4,18,2
227394684,62.4,13600000,23,25,2
233063373,34.0,8400000,5,17,1
248513131,44.0,13980000,4,5,2
261072352,57.6,37000000,30,41,2
265206637,42.0,6400000,2,5,1
269170156,88.2,30000000,4,5,2
270073581,51.9,12456000,7,12,2
270648473,45.3,13400000,5,9,2
272856487,46.6,10200000,20,25,1
273983668,35.0,12500000,2,17,1
275020074,35.0,8100000,6,13,1
275040150,38.4,5800000,4,4,1
275050401,44.5,49400000,3,5,1
275471474,33.4,7500000,6,6,1
276620651,66.4,43000000,2,13,2
279685018,80.0,39500000,11,42,3
279918609,56.0,87500000,3,4,2
280701170,59.3,7950000,5,9,2
280729658,42.5,6500000,6,9,1
280730686,80.8,10926000,4,9,3
280748592,62.3,8150000,8,9,2
284430188,36.0,12000000,7,16,2
285954739,33.0,8600000,1,12,1
286050252,42.5,7150000,5,9,1
286643532,69.8,52903629,4,8,3
286995307,32.8,8395000,4,9,1
287296773,79.7,31500000,6,11,2
287296776,79.7,31500000,6,11,3
288092656,31.8,11200000,11,19,1
288615232,34.0,9200000,5,9,1
289299955,81.25,40900000,6,18,3
289330530,36.4,9000000,6,17,1
289774737,81.4,27500000,2,26,3
289902762,30.1,9000000,5,5,1
290288962,85.5,29600000,2,5,2
290301611,43.0,25000000,5,30,1
290829248,36.3,10496388,17,25,1
291597285,85.0,50000000,29,29,3
292022196,35.4,8200000,14,15,1
292147309,30.0,6300000,1,6,1
292267406,49.0,64000000,3,6,2
292522658,41.3,11314272,12,25,1
292524495,39.9,10608395,17,26,1
292526198,41.9,11478281,24,26,1
292633965,73.0,25750000,6,24,3
293032841,64.0,33449000,4,13,2
293160646,40.0,12200000,5,14,2
293340003,31.0,7200000,4,5,1
293539868,64.3,15500000,17,27,2
294111689,72.0,38000000,13,29,2
294203461,60.0,93000000,2,9,2
294368903,92.0,64000000,41,78,3
294452835,62.0,41000000,16,78,2
294650795,44.0,49400000,3,5,2
294698580,68.0,32400000,35,39,3
294869015,63.8,14577524,24,25,2
294870005,41.3,11314272,17,25,1
294870513,63.8,13950498,23,25,2
294977495,45.0,10300000,8,9,2
295240177,32.7,8200000,15,17,1
295728885,32.4,8500000,11,12,1
295879334,48.0,15100000,2,26,1
295915768,92.1,96705000,8,13,3
296106332,69.8,55326696,4,8,3
296116200,22.0,6800000,6,8,1
296351713,75.3,54000000,13,16,2
296390859,74.0,34200000,14,19,3
296404444,17.0,10790000,2,5,1
296417169,59.1,17500000,13,16,2
297041322,32.0,8700000,8,9,1
297089589,30.4,5999000,4,5,1
297421556,72.0,21800000,3,12,3
297534195,30.9,8400000,5,14,1
297766719,61.4,60000000,3,9,2
297901785,53.0,16500000,3,3,2
297917099,36.3,9000000,6,14,1
297949172,70.0,28000000,12,21,2
297997441,59.0,55000000,51,79,2
298003416,60.9,29000000,10,43,2
298261134,60.5,24750000,13,17,2
298431321,36.2,9950000,2,17,1
298466120,81.2,60700000,12,12,3
298547100,34.8,9000000,1,12,1
298621200,32.1,9000000,5,5,1
298705574,13.0,4600000,3,9,1
298802622,46.0,20000000,20,22,2
